"","id","team_api_id","team_fifa_api_id","team_long_name","team_short_name"
"75",9552,8592,219,"Olympique de Marseille","MAR"
"76",9553,9874,226,"FC Sochaux-Montbéliard","SOC"
"77",9554,9855,1805,"Grenoble Foot 38","GRE"
"78",9555,9873,110456,"Valenciennes FC","VAL"
"79",9556,9853,1819,"AS Saint-Étienne","ETI"
"80",10300,8588,64,"RC Lens","LEN"
"81",10309,10249,70,"Montpellier Hérault SC","MON"
"82",10312,4170,111376,"US Boulogne Cote D'Opale","BOU"
"83",11074,108893,111989,"AC Arles-Avignon","ARL"
"84",11076,8521,378,"Stade Brestois 29","BRE"
"85",11817,8576,614,"AC Ajaccio","AJA"
"86",11822,4087,111271,"Évian Thonon Gaillard FC","ETG"
"87",11825,9836,110569,"Dijon FCO","DIJ"
"88",12587,9837,379,"Stade de Reims","REI"
"89",12594,7794,58,"SC Bastia","BAS"
"90",12595,10242,294,"ES Troyes AC","TRO"
"91",13343,9747,62,"En Avant de Guingamp","GUI"
"92",14106,8550,68,"FC Metz","MET"
"93",14868,8121,1530,"Angers SCO","ANG"
"94",14876,6391,110316,"GFC Ajaccio","GAJ"
"95",15617,9823,21,"FC Bayern Munich","BMU"
"96",15618,9790,28,"Hamburger SV","HAM"
"97",15619,8178,32,"Bayer 04 Leverkusen","LEV"
"98",15620,9789,22,"Borussia Dortmund","DOR"
"99",15621,10189,34,"FC Schalke 04","S04"
"100",15622,9904,485,"Hannover 96","HAN"
"101",15623,8721,175,"VfL Wolfsburg","WOL"
"102",15624,8722,31,"1. FC Köln","FCK"
"103",15625,9810,1824,"Eintracht Frankfurt","EFR"
"104",15626,8177,166,"Hertha BSC Berlin","HBE"
"105",15627,9912,159,"DSC Arminia Bielefeld","BIE"
"106",15628,8697,38,"SV Werder Bremen","WBR"
"107",15629,8398,162,"FC Energie Cottbus","COT"
"108",15630,8226,10029,"TSG 1899 Hoffenheim","HOF"
"109",15631,9788,23,"Borussia Mönchengladbach","GLA"
"110",15632,10269,36,"VfB Stuttgart","STU"
"111",15633,8295,1832,"Karlsruher SC","KAR"
"112",15634,9911,160,"VfL Bochum","BOC"
"113",16237,8358,25,"SC Freiburg","FRE"
"114",16239,8165,171,"1. FC Nürnberg","NUR"
"115",16243,9905,169,"1. FSV Mainz 05","MAI"
"116",16848,8350,29,"1. FC Kaiserslautern","KAI"
"117",16850,8152,110329,"FC St. Pauli","STP"
"118",17465,8406,100409,"FC Augsburg","AUG"
"119",18074,8194,110636,"Fortuna Düsseldorf","FDU"
"120",18079,8357,165,"SpVgg Greuther Fürth","GRF"
"121",18691,9776,110500,"Eintracht Braunschweig","BRA"
"122",19305,8460,10030,"SC Paderborn 07","PAD"
"123",19916,8234,111239,"FC Ingolstadt 04","ING"
"124",19917,8262,110502,"SV Darmstadt 98","DAR"
"125",20513,8524,39,"Atalanta","ATA"
"126",20514,8551,1838,"Siena","SIE"
"127",20515,8529,1842,"Cagliari","CAG"
"128",20516,8543,46,"Lazio","LAZ"
"129",20517,8530,110364,"Catania","CAT"
"130",20518,10233,110556,"Genoa","GEN"
"131",20519,8533,192,"Chievo Verona","CHI"
"132",20520,8690,203,"Reggio Calabria","REG"
"133",20521,8535,110374,"Fiorentina","FIO"
"134",20522,9885,45,"Juventus","JUV"
"135",20523,8564,47,"Milan","ACM"
"136",20524,9857,189,"Bologna","BOL"
"137",20525,8686,52,"Roma","ROM"
"138",20526,9875,48,"Napoli","NAP"
"139",20527,9882,1837,"Sampdoria","SAM"
"140",20528,8636,44,"Inter","INT"
"141",20529,9804,54,"Torino","TOR"
"142",20530,9888,347,"Lecce","LEC"
"143",20531,8600,55,"Udinese","UDI"
"144",20532,8540,1843,"Palermo","PAL"
"145",21280,9976,1848,"Bari","BAR"
"146",21285,8537,1844,"Livorno","LIV"
"147",21292,10167,50,"Parma","PAR"
"148",22042,9880,110915,"Cesena","CES"
"149",22044,9858,190,"Brescia","BRE"
"150",22805,6269,112225,"Novara","NOV"
"151",23523,9878,200,"Pescara","PES"
"152",24273,9876,206,"Hellas Verona","VER"
"153",24288,7943,111974,"Sassuolo","SAS"
"154",25048,8534,1746,"Empoli","EMP"
"155",25791,9891,111657,"Frosinone","FRO"
"156",25804,208931,112409,"Carpi","CAP"
"157",26547,8277,1909,"Vitesse","VIT"
"158",26548,8674,1915,"FC Groningen","GRO"
"159",26549,9803,1902,"Roda JC Kerkrade","ROD"
"160",26550,8611,1908,"FC Twente","TWE"
"161",26551,8525,1907,"Willem II","WII"
"162",26552,8593,245,"Ajax","AJA"
"163",26553,8464,1910,"N.E.C.","NEC"
"164",26554,8526,635,"De Graafschap","GRA"
"165",26555,9908,1903,"FC Utrecht","UTR"
"166",26556,8640,247,"PSV","PSV"
"167",26557,9791,100634,"Heracles Almelo","HER"
"168",26558,10235,246,"Feyenoord","FEY"
"169",26559,8614,100646,"Sparta Rotterdam","SPA"
"170",26560,10217,650,"ADO Den Haag","HAA"
"171",26561,6601,NA,"FC Volendam","VOL"
"172",26562,10228,1913,"SC Heerenveen","HEE"
"173",26563,10229,1906,"AZ","ALK"
"174",26564,9761,1904,"NAC Breda","NAC"
"175",27161,10219,1905,"RKC Waalwijk","RKC"
"176",27168,9839,100651,"VVV-Venlo","VEN"
"177",27780,10218,1971,"Excelsior","EXC"
"178",29000,6413,1914,"PEC Zwolle","ZWO"
"179",29617,7788,647,"SC Cambuur","CAM"
"180",29624,6433,100632,"Go Ahead Eagles","GAE"
"181",30222,6631,100626,"FC Dordrecht","DOR"
"182",31443,10265,1873,"Wisla Kraków","WIS"
"183",31444,8031,111429,"Polonia Bytom","POB"
"184",31445,8020,111429,"Polonia Bytom","GOR"
"185",31446,1601,874,"Ruch Chorzów","CHO"
"186",31447,8673,1871,"Legia Warszawa","LEG"
"187",31448,2183,1570,"P. Warszawa","PWA"
"188",31449,8025,111092,"Slask Wroclaw","SLA"
"189",31450,8030,111091,"Lechia Gdansk","LGD"
"190",31451,8244,301,"Widzew Lódz","LOD"
"191",31452,8242,1564,"Odra Wodzislaw","ODR"
"192",31453,2182,873,"Lech Poznan","POZ"
"193",31454,8569,110744,"GKS Belchatów","BEL"
"194",31455,8322,111082,"Arka Gdynia","ARK"
"195",31456,1957,110745,"Jagiellonia Bialystok","BIA"
"196",31457,8028,111086,"Piast Gliwice","PIG"
"197",31458,2186,110747,"Cracovia","CKR"
"198",31925,8245,111083,"Korona Kielce","KKI"
"199",31928,8021,110749,"Zaglebie Lubin","ZAG"
"200",32409,8024,301,"Widzew Lódz","WID"
"201",32891,8033,111087,"Podbeskidzie Bielsko-Biala","POD"
"202",33377,8023,110746,"Pogon Szczecin","POG"
"203",33855,8027,112512,"Zawisza Bydgoszcz","ZAW"
"204",34337,8019,110565,"Górnik Leczna","LEC"
"205",34816,177361,NA,"Termalica Bruk-Bet Nieciecza","TBN"
"206",35283,9773,236,"FC Porto","POR"
"207",35284,9807,1889,"CF Os Belenenses","BEL"
"208",35285,9768,237,"Sporting CP","SCP"
"209",35286,7992,NA,"Trofense","TRO"
"210",35287,7844,1887,"Vitória Guimarães","GUI"
"211",35288,10238,665,"Vitória Setúbal","SET"
"212",35289,6403,1892,"FC Paços de Ferreira","FER"
"213",35290,10264,1896,"SC Braga","BRA"
"214",35291,10213,NA,"Amadora","AMA"
"215",35292,10215,1901,"Académica de Coimbra","ACA"
"216",35293,7841,744,"Rio Ave FC","RA"
"217",35294,9772,234,"SL Benfica","BEN"
"218",35295,6421,10018,"Leixões SC","LEI"
"219",35296,10214,1891,"CD Nacional","NAC"
"220",35297,9809,100737,"Naval 1° de Maio","NAV"
"221",35298,10212,1893,"CS Marítimo","MAR"
"222",35769,9771,1895,"União de Leiria, SAD","ULE"
"223",35774,2033,111540,"S.C. Olhanense","OLH"
"224",36248,9765,NA,"Portimonense","POR"
"225",36253,10211,1897,"SC Beira Mar","B-M"
"226",36723,4064,NA,"Feirense","FEI"
"227",36735,9764,1888,"Gil Vicente FC","GV"
"228",37210,8348,1900,"Moreirense FC","MOR"
"229",37214,7842,10020,"Estoril Praia","EST"
"230",37696,158085,112513,"FC Arouca","ARO"
"231",38173,6547,100741,"FC Penafiel","PEN"
"232",38176,8613,1898,"Boavista FC","BOA"
"233",38789,6367,NA,"Uniao da Madeira","MAD"
"234",38791,188163,NA,"Tondela","TON"
"235",39387,8596,79,"Falkirk","FAL"
"236",39388,8548,86,"Rangers","RAN"
"237",39389,9860,80,"Heart of Midlothian","HEA"
"238",39390,9927,83,"Motherwell","MOT"
"239",39391,8597,82,"Kilmarnock","KIL"
"240",39392,10251,81,"Hibernian","HIB"
"241",39393,8485,77,"Aberdeen","ABE"
"242",39394,8066,620,"Inverness Caledonian Thistle","INV"
"243",39395,9925,78,"Celtic","CEL"
"244",39396,9800,100805,"St. Mirren","MIR"
"245",39397,8429,184,"Hamilton Academical FC","HAM"
"246",39398,9938,181,"Dundee United","DUU"
"247",39853,8467,100804,"St. Johnstone FC","JOH"
"248",40757,8457,182,"Dunfermline Athletic","DUN"
"249",41216,8284,180,"Dundee FC","DUF"
"250",41217,8649,631,"Ross County FC","ROS"
"251",41673,8426,1754,"Partick Thistle F.C.","PAR"
"252",43035,10267,461,"Valencia CF","VAL"
"253",43036,8661,453,"RCD Mallorca","MAL"
"254",43037,8371,479,"CA Osasuna","OSA"
"255",43038,10205,483,"Villarreal CF","VIL"
"256",43039,9783,242,"RC Deportivo de La Coruña","COR"
"257",43040,8633,243,"Real Madrid CF","REA"
"258",43041,8388,477,"CD Numancia","NUM"
"259",43042,8634,241,"FC Barcelona","BAR"
"260",43043,8696,456,"Racing Santander","SAN"
"261",43044,8302,481,"Sevilla FC","SEV"
"262",43045,9869,459,"Real Sporting de Gijón","SPG"
"263",43046,8305,1860,"Getafe CF","GET"
"264",43047,8603,449,"Real Betis Balompié","BET"
"265",43048,8479,571,"RC Recreativo","HUE"
"266",43049,8558,452,"RCD Espanyol","ESP"
"267",43050,10281,462,"Real Valladolid","VAL"
"268",43051,8315,448,"Athletic Club de Bilbao","BIL"
"269",43052,9865,1861,"UD Almería","ALM"
"270",43053,9906,240,"Atlético Madrid","AMA"
"271",43054,9864,573,"Málaga CF","MAL"
"272",43800,9868,1742,"Xerez Club Deportivo","XER"
"273",43803,8394,244,"Real Zaragoza","ZAR"
"274",43804,9867,260,"CD Tenerife","TEN"
"275",44557,10278,100879,"Hércules Club de Fútbol","HER"
"276",44565,8581,1853,"Levante UD","LEV"
"277",44569,8560,457,"Real Sociedad","SOC"
"278",45330,7878,110832,"Granada CF","GRA"
"279",45333,8370,480,"Rayo Vallecano","RAY"
"280",46087,9910,450,"RC Celta de Vigo","CEL"
"281",46848,10268,468,"Elche CF","ELC"
"282",47605,8372,467,"SD Eibar","EIB"
"283",47612,7869,1867,"Córdoba CF","COR"
"284",48358,8306,472,"UD Las Palmas","LAS"
"285",49115,9956,322,"Grasshopper Club Zürich","GRA"
"286",49116,6493,1714,"AC Bellinzona","BEL"
"287",49117,10192,900,"BSC Young Boys","YB"
"288",49118,9931,896,"FC Basel","BAS"
"289",49119,9930,434,"FC Aarau","AAR"
"290",49120,10179,110770,"FC Sion","SIO"
"291",49121,10199,897,"FC Luzern","LUZ"
"292",49122,9824,286,"FC Vaduz","VAD"
"293",49123,7955,435,"Neuchâtel Xamax","XAM"
"294",49124,10243,894,"FC Zürich","ZUR"
"295",49479,10190,898,"FC St. Gallen","GAL"
"296",49837,10191,1715,"FC Thun","THU"
"297",50201,9777,324,"Servette FC","SER"
"298",50204,7730,1862,"FC Lausanne-Sports","LAU"
"299",51606,7896,NA,"Lugano","LUG"
