"","team_fifa_api_id","team_api_id","team_long_name","team_short_name","date","buildUpPlaySpeed","buildUpPlaySpeedClass","buildUpPlayDribbling","buildUpPlayDribblingClass","buildUpPlayPassing","buildUpPlayPassingClass","buildUpPlayPositioningClass","chanceCreationPassing","chanceCreationPassingClass","chanceCreationCrossing","chanceCreationCrossingClass","chanceCreationShooting","chanceCreationShootingClass","chanceCreationPositioningClass","defencePressure","defencePressureClass","defenceAggression","defenceAggressionClass","defenceTeamWidth","defenceTeamWidthClass","defenceDefenderLineClass"
"123",110456,9873,"Valenciennes FC","VAL","2015-09-10 00:00:00",49,"Balanced",59,"Normal",52,"Mixed","Organised",51,"Normal",67,"Lots",56,"Normal","Organised",47,"Medium",51,"Press",46,"Normal","Cover"
"126",110456,9873,"Valenciennes FC","VAL","2014-09-19 00:00:00",49,"Balanced",59,"Normal",52,"Mixed","Organised",51,"Normal",67,"Lots",56,"Normal","Organised",47,"Medium",51,"Press",46,"Normal","Cover"
"130",110500,9776,"Eintracht Braunschweig","BRA","2014-09-19 00:00:00",61,"Balanced",60,"Normal",62,"Mixed","Organised",59,"Normal",43,"Normal",55,"Normal","Organised",30,"Deep",40,"Press",39,"Normal","Cover"
"131",110500,9776,"Eintracht Braunschweig","BRA","2015-09-10 00:00:00",66,"Balanced",44,"Normal",54,"Mixed","Organised",62,"Normal",59,"Normal",51,"Normal","Free Form",57,"Medium",47,"Press",53,"Normal","Cover"
"132",110502,8262,"SV Darmstadt 98","DAR","2015-09-10 00:00:00",59,"Balanced",43,"Normal",77,"Long","Organised",52,"Normal",77,"Lots",45,"Normal","Organised",32,"Deep",56,"Press",41,"Normal","Cover"
"134",110556,10233,"Genoa","GEN","2014-09-19 00:00:00",64,"Balanced",52,"Normal",68,"Long","Organised",66,"Normal",53,"Normal",49,"Normal","Organised",23,"Deep",47,"Press",53,"Normal","Cover"
"138",110556,10233,"Genoa","GEN","2015-09-10 00:00:00",64,"Balanced",52,"Normal",68,"Long","Organised",66,"Normal",45,"Normal",23,"Little","Organised",27,"Deep",47,"Press",53,"Normal","Cover"
"139",110565,8019,"Górnik Leczna","LEC","2015-09-10 00:00:00",41,"Balanced",40,"Normal",59,"Mixed","Organised",41,"Normal",44,"Normal",54,"Normal","Organised",52,"Medium",47,"Press",50,"Normal","Cover"
"141",110569,9836,"Dijon FCO","DIJ","2014-09-19 00:00:00",51,"Balanced",54,"Normal",49,"Mixed","Organised",49,"Normal",52,"Normal",52,"Normal","Organised",45,"Medium",46,"Press",58,"Normal","Cover"
"142",110569,9836,"Dijon FCO","DIJ","2015-09-10 00:00:00",51,"Balanced",54,"Normal",49,"Mixed","Organised",49,"Normal",52,"Normal",52,"Normal","Organised",45,"Medium",46,"Press",58,"Normal","Cover"
"148",110636,8194,"Fortuna Düsseldorf","FDU","2015-09-10 00:00:00",47,"Balanced",62,"Normal",47,"Mixed","Organised",55,"Normal",68,"Lots",55,"Normal","Organised",56,"Medium",57,"Press",52,"Normal","Cover"
"150",110636,8194,"Fortuna Düsseldorf","FDU","2014-09-19 00:00:00",72,"Fast",69,"Lots",57,"Mixed","Organised",55,"Normal",49,"Normal",37,"Normal","Organised",47,"Medium",48,"Press",50,"Normal","Cover"
"152",110724,8203,"KV Mechelen","MEC","2014-09-19 00:00:00",52,"Balanced",42,"Normal",40,"Mixed","Organised",47,"Normal",53,"Normal",50,"Normal","Organised",42,"Medium",51,"Press",52,"Normal","Cover"
"156",110724,8203,"KV Mechelen","MEC","2015-09-10 00:00:00",52,"Balanced",42,"Normal",40,"Mixed","Organised",47,"Normal",53,"Normal",50,"Normal","Organised",42,"Medium",51,"Press",52,"Normal","Cover"
"161",110744,8569,"GKS Belchatów","BEL","2015-09-10 00:00:00",52,"Balanced",48,"Normal",43,"Mixed","Organised",52,"Normal",37,"Normal",50,"Normal","Organised",47,"Medium",45,"Press",40,"Normal","Cover"
"164",110745,1957,"Jagiellonia Bialystok","BIA","2014-09-19 00:00:00",38,"Balanced",54,"Normal",38,"Mixed","Organised",53,"Normal",27,"Little",66,"Normal","Organised",57,"Medium",56,"Press",49,"Normal","Cover"
"167",110745,1957,"Jagiellonia Bialystok","BIA","2015-09-10 00:00:00",66,"Balanced",54,"Normal",38,"Mixed","Organised",53,"Normal",33,"Little",66,"Normal","Organised",57,"Medium",56,"Press",49,"Normal","Cover"
"170",110746,8023,"Pogon Szczecin","POG","2015-09-10 00:00:00",50,"Balanced",33,"Little",36,"Mixed","Organised",52,"Normal",40,"Normal",52,"Normal","Organised",57,"Medium",54,"Press",47,"Normal","Cover"
"171",110746,8023,"Pogon Szczecin","POG","2014-09-19 00:00:00",50,"Balanced",48,"Normal",36,"Mixed","Free Form",52,"Normal",36,"Normal",52,"Normal","Organised",50,"Medium",60,"Press",47,"Normal","Cover"
"174",110747,2186,"Cracovia","CKR","2015-09-10 00:00:00",37,"Balanced",50,"Normal",38,"Mixed","Organised",66,"Normal",66,"Normal",33,"Little","Organised",59,"Medium",34,"Press",64,"Normal","Cover"
"176",110747,2186,"Cracovia","CKR","2014-09-19 00:00:00",37,"Balanced",50,"Normal",38,"Mixed","Organised",66,"Normal",66,"Normal",33,"Little","Organised",59,"Medium",34,"Press",64,"Normal","Cover"
"181",110749,8021,"Zaglebie Lubin","ZAG","2014-09-19 00:00:00",33,"Slow",49,"Normal",51,"Mixed","Organised",38,"Normal",63,"Normal",48,"Normal","Organised",58,"Medium",38,"Press",52,"Normal","Cover"
"185",110770,10179,"FC Sion","SIO","2014-09-19 00:00:00",61,"Balanced",57,"Normal",37,"Mixed","Organised",62,"Normal",50,"Normal",53,"Normal","Organised",45,"Medium",47,"Press",54,"Normal","Cover"
"186",110770,10179,"FC Sion","SIO","2015-09-10 00:00:00",61,"Balanced",57,"Normal",37,"Mixed","Organised",62,"Normal",50,"Normal",53,"Normal","Organised",45,"Medium",47,"Press",54,"Normal","Cover"
"188",110832,7878,"Granada CF","GRA","2015-09-10 00:00:00",57,"Balanced",50,"Normal",59,"Mixed","Organised",61,"Normal",63,"Normal",51,"Normal","Organised",48,"Medium",45,"Press",62,"Normal","Cover"
"190",110832,7878,"Granada CF","GRA","2014-09-19 00:00:00",52,"Balanced",62,"Normal",37,"Mixed","Organised",67,"Risky",68,"Lots",52,"Normal","Organised",49,"Medium",45,"Press",64,"Normal","Cover"
"193",110913,8475,"Waasland-Beveren","WAA","2014-09-19 00:00:00",38,"Balanced",45,"Normal",39,"Mixed","Organised",29,"Safe",30,"Little",39,"Normal","Organised",25,"Deep",37,"Press",35,"Normal","Cover"
"195",110913,8475,"Waasland-Beveren","WAA","2015-09-10 00:00:00",38,"Balanced",45,"Normal",49,"Mixed","Organised",45,"Normal",42,"Normal",53,"Normal","Organised",27,"Deep",32,"Contain",35,"Normal","Cover"
"196",110915,9880,"Cesena","CES","2014-09-19 00:00:00",73,"Fast",29,"Little",41,"Mixed","Organised",53,"Normal",44,"Normal",73,"Lots","Organised",39,"Medium",49,"Press",57,"Normal","Cover"
"200",110915,9880,"Cesena","CES","2015-09-10 00:00:00",66,"Balanced",31,"Little",41,"Mixed","Organised",53,"Normal",44,"Normal",66,"Normal","Organised",39,"Medium",49,"Press",57,"Normal","Cover"
"205",111083,8245,"Korona Kielce","KKI","2014-09-19 00:00:00",73,"Fast",69,"Lots",50,"Mixed","Organised",64,"Normal",53,"Normal",36,"Normal","Organised",30,"Deep",43,"Press",62,"Normal","Cover"
"208",111083,8245,"Korona Kielce","KKI","2015-09-10 00:00:00",59,"Balanced",69,"Lots",50,"Mixed","Organised",64,"Normal",53,"Normal",36,"Normal","Organised",30,"Deep",43,"Press",62,"Normal","Cover"
"210",111086,8028,"Piast Gliwice","PIG","2014-09-19 00:00:00",64,"Balanced",52,"Normal",67,"Long","Organised",64,"Normal",66,"Normal",39,"Normal","Organised",36,"Medium",45,"Press",48,"Normal","Cover"
"213",111086,8028,"Piast Gliwice","PIG","2015-09-10 00:00:00",64,"Balanced",52,"Normal",67,"Long","Organised",64,"Normal",66,"Normal",39,"Normal","Organised",36,"Medium",45,"Press",48,"Normal","Cover"
"216",111087,8033,"Podbeskidzie Bielsko-Biala","POD","2014-09-19 00:00:00",72,"Fast",55,"Normal",66,"Mixed","Organised",66,"Normal",51,"Normal",49,"Normal","Organised",29,"Deep",35,"Press",38,"Normal","Cover"
"217",111087,8033,"Podbeskidzie Bielsko-Biala","POD","2015-09-10 00:00:00",68,"Fast",55,"Normal",66,"Mixed","Organised",66,"Normal",51,"Normal",49,"Normal","Organised",29,"Deep",35,"Press",38,"Normal","Cover"
"219",111091,8030,"Lechia Gdansk","LGD","2015-09-10 00:00:00",62,"Balanced",48,"Normal",52,"Mixed","Free Form",66,"Normal",59,"Normal",58,"Normal","Organised",51,"Medium",58,"Press",40,"Normal","Cover"
"221",111091,8030,"Lechia Gdansk","LGD","2014-09-19 00:00:00",62,"Balanced",48,"Normal",52,"Mixed","Organised",50,"Normal",63,"Normal",52,"Normal","Organised",37,"Medium",58,"Press",63,"Normal","Cover"
"228",111092,8025,"Slask Wroclaw","SLA","2015-09-10 00:00:00",50,"Balanced",55,"Normal",35,"Mixed","Organised",51,"Normal",51,"Normal",55,"Normal","Organised",45,"Medium",55,"Press",39,"Normal","Cover"
"229",111092,8025,"Slask Wroclaw","SLA","2014-09-19 00:00:00",47,"Balanced",53,"Normal",34,"Mixed","Organised",38,"Normal",36,"Normal",68,"Lots","Organised",37,"Medium",37,"Press",39,"Normal","Cover"
"230",111239,8234,"FC Ingolstadt 04","ING","2014-09-19 00:00:00",54,"Balanced",59,"Normal",47,"Mixed","Organised",53,"Normal",33,"Little",52,"Normal","Organised",42,"Medium",36,"Press",49,"Normal","Cover"
"232",111239,8234,"FC Ingolstadt 04","ING","2015-09-10 00:00:00",55,"Balanced",51,"Normal",46,"Mixed","Organised",47,"Normal",53,"Normal",51,"Normal","Organised",37,"Medium",48,"Press",49,"Normal","Cover"
"237",111271,4087,"Évian Thonon Gaillard FC","ETG","2014-09-19 00:00:00",61,"Balanced",51,"Normal",44,"Mixed","Organised",52,"Normal",61,"Normal",48,"Normal","Organised",47,"Medium",56,"Press",50,"Normal","Cover"
"238",111271,4087,"Évian Thonon Gaillard FC","ETG","2015-09-10 00:00:00",58,"Balanced",35,"Normal",56,"Mixed","Organised",52,"Normal",61,"Normal",51,"Normal","Organised",47,"Medium",43,"Press",50,"Normal","Cover"
"250",111540,2033,"S.C. Olhanense","OLH","2014-09-19 00:00:00",45,"Balanced",62,"Normal",40,"Mixed","Organised",53,"Normal",37,"Normal",44,"Normal","Organised",37,"Medium",24,"Contain",44,"Normal","Cover"
"252",111560,274581,"Royal Excel Mouscron","MOP","2015-09-10 00:00:00",50,"Balanced",50,"Normal",50,"Mixed","Organised",50,"Normal",50,"Normal",50,"Normal","Organised",45,"Medium",45,"Press",50,"Normal","Cover"
"253",111560,9996,"Royal Excel Mouscron","MOU","2015-09-10 00:00:00",50,"Balanced",50,"Normal",50,"Mixed","Organised",50,"Normal",50,"Normal",50,"Normal","Organised",45,"Medium",45,"Press",50,"Normal","Cover"
"254",111560,9996,"Royal Excel Mouscron","MOU","2015-09-10 00:00:00",50,"Balanced",50,"Normal",50,"Mixed","Organised",50,"Normal",50,"Normal",50,"Normal","Organised",45,"Medium",45,"Press",50,"Normal","Cover"
"256",111657,9891,"Frosinone","FRO","2015-09-10 00:00:00",63,"Balanced",48,"Normal",46,"Mixed","Organised",51,"Normal",50,"Normal",50,"Normal","Organised",55,"Medium",57,"Press",47,"Normal","Cover"
"262",111974,7943,"Sassuolo","SAS","2015-09-10 00:00:00",57,"Balanced",65,"Normal",60,"Mixed","Organised",56,"Normal",57,"Normal",56,"Normal","Organised",38,"Medium",47,"Press",53,"Normal","Cover"
"263",111974,7943,"Sassuolo","SAS","2014-09-19 00:00:00",57,"Balanced",71,"Lots",60,"Mixed","Organised",66,"Normal",57,"Normal",63,"Normal","Organised",54,"Medium",47,"Press",36,"Normal","Offside Trap"
"265",111989,108893,"AC Arles-Avignon","ARL","2014-09-19 00:00:00",39,"Balanced",48,"Normal",54,"Mixed","Organised",49,"Normal",40,"Normal",43,"Normal","Organised",44,"Medium",53,"Press",57,"Normal","Cover"
"268",111989,108893,"AC Arles-Avignon","ARL","2015-09-10 00:00:00",56,"Balanced",46,"Normal",54,"Mixed","Organised",55,"Normal",40,"Normal",43,"Normal","Organised",48,"Medium",53,"Press",57,"Normal","Cover"
"273",112225,6269,"Novara","NOV","2014-09-19 00:00:00",66,"Balanced",57,"Normal",56,"Mixed","Organised",56,"Normal",55,"Normal",57,"Normal","Organised",36,"Medium",49,"Press",53,"Normal","Cover"
"274",112409,208931,"Carpi","CAP","2014-09-19 00:00:00",32,"Slow",46,"Normal",31,"Short","Organised",47,"Normal",36,"Normal",54,"Normal","Organised",46,"Medium",44,"Press",51,"Normal","Cover"
"275",112409,208931,"Carpi","CAP","2015-09-10 00:00:00",80,"Fast",45,"Normal",65,"Mixed","Organised",70,"Risky",40,"Normal",50,"Normal","Organised",25,"Deep",55,"Press",35,"Normal","Cover"
"276",112512,8027,"Zawisza Bydgoszcz","ZAW","2014-09-19 00:00:00",54,"Balanced",51,"Normal",40,"Mixed","Organised",67,"Risky",49,"Normal",52,"Normal","Organised",44,"Medium",47,"Press",52,"Normal","Cover"
"277",112512,8027,"Zawisza Bydgoszcz","ZAW","2015-09-10 00:00:00",54,"Balanced",51,"Normal",40,"Mixed","Organised",46,"Normal",49,"Normal",52,"Normal","Organised",44,"Medium",47,"Press",52,"Normal","Cover"
"278",112513,158085,"FC Arouca","ARO","2015-09-10 00:00:00",65,"Balanced",66,"Normal",39,"Mixed","Organised",55,"Normal",59,"Normal",46,"Normal","Organised",37,"Medium",39,"Press",37,"Normal","Cover"
"279",112513,158085,"FC Arouca","ARO","2014-09-19 00:00:00",69,"Fast",66,"Normal",39,"Mixed","Organised",55,"Normal",59,"Normal",46,"Normal","Organised",35,"Medium",37,"Press",37,"Normal","Cover"
"281",12,8549,"Middlesbrough","MID","2015-09-10 00:00:00",60,"Balanced",32,"Little",46,"Mixed","Organised",43,"Normal",55,"Normal",37,"Normal","Organised",38,"Medium",42,"Press",42,"Normal","Cover"
"282",12,8549,"Middlesbrough","MID","2014-09-19 00:00:00",60,"Balanced",28,"Little",56,"Mixed","Organised",49,"Normal",56,"Normal",72,"Lots","Organised",38,"Medium",42,"Press",42,"Normal","Cover"
"286",13,10261,"Newcastle United","NEW","2014-09-19 00:00:00",54,"Balanced",33,"Little",47,"Mixed","Organised",47,"Normal",51,"Normal",39,"Normal","Organised",56,"Medium",54,"Press",51,"Normal","Cover"
"289",13,10261,"Newcastle United","NEW","2015-09-10 00:00:00",58,"Balanced",45,"Normal",49,"Mixed","Organised",47,"Normal",54,"Normal",46,"Normal","Organised",41,"Medium",39,"Press",51,"Normal","Cover"
"296",144,9879,"Fulham","FUL","2014-09-19 00:00:00",52,"Balanced",34,"Normal",56,"Mixed","Organised",58,"Normal",41,"Normal",54,"Normal","Organised",29,"Deep",28,"Contain",39,"Normal","Cover"
"297",144,9879,"Fulham","FUL","2015-09-10 00:00:00",52,"Balanced",34,"Normal",48,"Mixed","Organised",39,"Normal",54,"Normal",59,"Normal","Organised",29,"Deep",30,"Contain",39,"Normal","Cover"
"299",15,10172,"Queens Park Rangers","QPR","2014-09-19 00:00:00",52,"Balanced",36,"Normal",53,"Mixed","Organised",53,"Normal",54,"Normal",54,"Normal","Organised",50,"Medium",44,"Press",54,"Normal","Cover"
"300",15,10172,"Queens Park Rangers","QPR","2015-09-10 00:00:00",30,"Slow",39,"Normal",61,"Mixed","Organised",53,"Normal",53,"Normal",60,"Normal","Organised",50,"Medium",44,"Press",54,"Normal","Cover"
"307",15005,10000,"SV Zulte-Waregem","ZUL","2015-09-10 00:00:00",54,"Balanced",42,"Normal",51,"Mixed","Organised",47,"Normal",52,"Normal",32,"Little","Organised",44,"Medium",58,"Press",37,"Normal","Cover"
"309",15005,10000,"SV Zulte-Waregem","ZUL","2014-09-19 00:00:00",54,"Balanced",42,"Normal",51,"Mixed","Organised",47,"Normal",52,"Normal",32,"Little","Organised",44,"Medium",58,"Press",37,"Normal","Cover"
"311",1530,8121,"Angers SCO","ANG","2014-09-19 00:00:00",48,"Balanced",61,"Normal",50,"Mixed","Organised",40,"Normal",52,"Normal",48,"Normal","Organised",44,"Medium",44,"Press",51,"Normal","Cover"
"312",1530,8121,"Angers SCO","ANG","2015-09-10 00:00:00",48,"Balanced",61,"Normal",50,"Mixed","Organised",40,"Normal",52,"Normal",48,"Normal","Organised",44,"Medium",44,"Press",51,"Normal","Cover"
"322",159,9912,"DSC Arminia Bielefeld","BIE","2014-09-19 00:00:00",62,"Balanced",49,"Normal",55,"Mixed","Organised",56,"Normal",51,"Normal",52,"Normal","Organised",36,"Medium",54,"Press",48,"Normal","Cover"
"324",160,9911,"VfL Bochum","BOC","2015-09-10 00:00:00",69,"Fast",38,"Normal",57,"Mixed","Organised",66,"Normal",40,"Normal",66,"Normal","Organised",58,"Medium",47,"Press",67,"Wide","Cover"
"328",160,9911,"VfL Bochum","BOC","2014-09-19 00:00:00",38,"Balanced",54,"Normal",48,"Mixed","Organised",51,"Normal",54,"Normal",36,"Normal","Organised",34,"Medium",53,"Press",49,"Normal","Cover"
"332",162,8398,"FC Energie Cottbus","COT","2014-09-19 00:00:00",39,"Balanced",47,"Normal",40,"Mixed","Organised",52,"Normal",67,"Lots",56,"Normal","Organised",47,"Medium",55,"Press",52,"Normal","Cover"
"336",165,8357,"SpVgg Greuther Fürth","GRF","2015-09-10 00:00:00",54,"Balanced",60,"Normal",53,"Mixed","Organised",54,"Normal",49,"Normal",46,"Normal","Organised",48,"Medium",56,"Press",66,"Normal","Cover"
"340",165,8357,"SpVgg Greuther Fürth","GRF","2014-09-19 00:00:00",66,"Balanced",60,"Normal",38,"Mixed","Organised",56,"Normal",40,"Normal",52,"Normal","Organised",49,"Medium",48,"Press",62,"Normal","Cover"
